Equipe;Nom;Poste;Age;Taille (cm);Masse (kg)
France;Bernard LE ROUX;Avant;31;196;113
France;Cyril CAZEAUX;Avant;26;198;117
France;Guillaume DUCAT;Avant;24;205;115
France;Kilian GÉRACI;Avant;21;200;115
France;Paul WILLEMSE;Avant;28;201;126
France;Romain TAOFIFENUA;Avant;30;200;127
France;Swan REBBADJ;Avant;26;202;116
Angleterre;Charlie EWELS;Avant;25;198;112
Angleterre;Courtney LAWES;Avant;31;201;118
Angleterre;Joe LAUNCHBURY;Avant;29;198;126
Angleterre;Jonny HILL;Avant;26;201;113
Angleterre;Maro ITOJE;Avant;26;196;115
Italie;Cristian STOIAN;Avant;21;198;115
Italie;Federico RUZZA;Avant;26;198;108
Italie;Niccolò CANNONE;Avant;22;196;115
Italie;Seb NEGRI;Avant;26;194;110
Ecosse;Ben TOOLIS;Avant;28;202;119
Ecosse;Blade THOMSON;Avant;30;198;110
Ecosse;Jonny GRAY;Avant;26;198;119
Ecosse;Richie GRAY;Avant;31;206;126
Ecosse;Scott CUMMINGS;Avant;24;198;115
Irlande;Iain HENDERSON;Avant;28;198;116
Irlande;James RYAN;Avant;24;203;116
Irlande;Quinn ROUX;Avant;30;196;122
Irlande;Tadhg BEIRNE;Avant;29;198;114
Pays-de-Galles;Adam BEARD;Avant;25;203;117
Pays-de-Galles;Alun Wyn JONES;Avant;35;198;119
Pays-de-Galles;Cory HILL;Avant;29;195;117
Pays-de-Galles;Jake BALL;Avant;29;200;121
Pays-de-Galles;Seb DAVIES;Avant;24;198;116
Pays-de-Galles;Will ROWLANDS;Avant;29;203;123
France;Anthony JELONCH;Avant;24;193;105
France;Baptiste PESENTI;Avant;23;195;118
France;Cameron WOKI;Avant;22;196;109
France;Charles OLLIVON;Avant;27;199;114
France;Dylan CRETIN;Avant;23;195;105
France;François CROS;Avant;26;190;107
France;Greg ALLDRITT;Avant;23;191;115
France;Sekou MACALOU;Avant;25;195;108
France;Selevasio TOLOFUA;Avant;23;186;116
Angleterre;Ben EARL;Avant;23;183;102
Angleterre;Billy VUNIPOLA;Avant;28;188;130
Angleterre;Jack WILLIS;Avant;24;191;116
Angleterre;Mark WILSON;Avant;31;191;112
Angleterre;Sam UNDERHILL;Avant;24;191;110
Angleterre;Tom CURRY;Avant;22;185;110
Italie;Braam STEYN;Avant;28;193;111
Italie;David SISI;Avant;28;193;117
Italie;Jake POLLEDRI;Avant;25;190;108
Italie;Johan MEYER;Avant;27;193;107
Italie;Marco LAZZARONI;Avant;25;194;110
Italie;Maxime MBANDA;Avant;27;189;110
Italie;Michele LAMARO;Avant;22;188;103
Ecosse;Blair COWAN;Avant;34;188;104
Ecosse;Cornell DU PREEZ;Avant;29;192;115
