Equipe;Nom;Poste;Age;Taille (cm);Masse (kg)
Angleterre;Anthony WATSON;Arrière;26;188;93
Angleterre;Ben EARL;3ème_ligne;23;183;102
Angleterre;Ben YOUNGS;Mêlée;31;179;92
Angleterre;Beno OBANO;Pilier;26;173;120
Angleterre;Billy VUNIPOLA;3ème_ligne;28;188;130
Angleterre;Charlie EWELS;2ème_ligne;25;198;112
Angleterre;Courtney LAWES;2ème_ligne;31;201;118
Angleterre;Dan ROBSON;Mêlée;28;173;82
Angleterre;Elliot DALY;Centre;28;184;100
Angleterre;Ellis GENGE;Pilier;25;187;118
Angleterre;George FORD;Ouverture;27;178;86
Angleterre;Harry WILLIAMS;Pilier;29;191;131
Angleterre;Henry SLADE;Ouverture;27;188;87
Angleterre;Jack WILLIS;3ème_ligne;24;191;116
Angleterre;Jamie GEORGE;Talonneur;30;183;106
Angleterre;Joe LAUNCHBURY;2ème_ligne;29;198;126
Angleterre;Joe MARCHANT;Centre;24;184;89
Angleterre;Joe MARLER;Pilier;30;183;114
Angleterre;Jonathan JOSEPH;Centre;29;183;94
Angleterre;Jonny HILL;2ème_ligne;26;201;113
Angleterre;Jonny MAY;Ailier;30;185;91
Angleterre;Kyle SINCKLER;Pilier;27;176;122
Angleterre;Luke COWAN-DICKIE;Talonneur;27;184;112
Angleterre;Mako VUNIPOLA;Pilier;30;180;130
Angleterre;Mark WILSON;3ème_ligne;31;191;112
Angleterre;Maro ITOJE;2ème_ligne;26;196;115
Angleterre;Max MALINS;Arrière;24;181;86
Angleterre;Ollie LAWRENCE;Centre;21;180;91
Angleterre;Owen FARRELL;Ouverture;29;188;96
Angleterre;Sam UNDERHILL;3ème_ligne;24;191;110
Angleterre;Tom CURRY;3ème_ligne;22;185;110
Angleterre;Tom DUNN;Talonneur;28;187;106
Angleterre;Will STUART;Pilier;24;189;132
Ecosse;Adam HASTINGS;Ouverture;24;189;93
Ecosse;Ali PRICE;Mêlée;27;178;88
Ecosse;Ben TOOLIS;2ème_ligne;28;202;119
Ecosse;Blade THOMSON;2ème_ligne;30;198;110
Ecosse;Blair COWAN;3ème_ligne;34;188;104
Ecosse;Blair KINGHORN;Arrière;24;194;100
Ecosse;Cameron REDPATH;Ouverture;21;188;95
Ecosse;Chris HARRIS;Centre;30;190;104
Ecosse;Cornell DU PREEZ;3ème_ligne;29;192;115
Ecosse;Darcy GRAHAM;Ailier;23;176;85
Ecosse;Dave CHERRY;Talonneur;30;183;103
Ecosse;Duhan VAN DER MERWE;Ailier;25;194;106
Ecosse;Duncan TAYLOR;Centre;31;189;92
Ecosse;Duncan WEIR;Ouverture;29;176;91
Ecosse;Finn RUSSELL;Ouverture;28;183;85
Ecosse;Fraser BROWN;Talonneur;31;182;114
Ecosse;Gary GRAHAM;3ème_ligne;28;187;112
Ecosse;George HORNE;Mêlée;25;175;79
Ecosse;George TURNER;Talonneur;28;181;106
Ecosse;Hamish WATSON;3ème_ligne;29;185;102
Ecosse;Huw JONES;Centre;27;186;102
Ecosse;Jaco VAN DER WALT;Ouverture;27;182;92
Ecosse;James LANG;Ouverture;25;183;95
Ecosse;Jamie BHATTI;Pilier;27;182;113
Ecosse;Jamie RITCHIE;3ème_ligne;24;193;109
Ecosse;Jonny GRAY;2ème_ligne;26;198;119
Ecosse;Matt FAGERSON;3ème_ligne;22;187;109
Ecosse;Nick HAINING;3ème_ligne;30;193;115
Ecosse;Oli KEBBLE;Pilier;28;191;124
Ecosse;Richie GRAY;2ème_ligne;31;206;126
Ecosse;Rob HARLEY;3ème_ligne;30;197;110
Ecosse;Rory SUTHERLAND;Pilier;28;183;113
Ecosse;Sam HIDALGO-CLYNE;Mêlée;27;175;76
Ecosse;Sam JOHNSON;Centre;27;185;103
Ecosse;Sam SKINNER;3ème_ligne;26;193;105
Ecosse;Scott CUMMINGS;2ème_ligne;24;198;115
Ecosse;Scott STEELE;Mêlée;27;175;85
Ecosse;Sean MAITLAND;Ailier;32;189;97
Ecosse;Simon BERGHAN;Pilier;30;193;126
Ecosse;Stuart HOGG;Arrière;28;183;83
Ecosse;Stuart MCINALLY;Talonneur;30;190;110
Ecosse;Wp NEL;Pilier;34;182;120
Ecosse;Zander FAGERSON;Pilier;25;188;126
France;Alivereti RAKA;Ailier;26;189;103
France;Anthony BOUTHIER;Arrière;28;182;87
France;Anthony JELONCH;3ème_ligne;24;193;104
France;Antoine DUPONT;Mêlée;24;174;85
France;Arthur VINCENT;Centre;21;183;90
France;Baptiste COUILLOUD;Mêlée;23;176;84
France;Baptiste PESENTI;3ème_ligne;23;195;118
France;Baptiste SERIN;Mêlée;26;180;79
France;Bernard LE ROUX;2ème_ligne;31;196;113
France;Brice DULIN;Arrière;30;176;82
France;Cameron WOKI;3ème_ligne;22;196;109
France;Camille CHAT;Talonneur;25;178;101
France;Charles OLLIVON;3ème_ligne;27;199;114
France;Cyril BAILLE;Pilier;27;182;116
France;Cyril CAZEAUX;2ème_ligne;26;198;117
France;Damian PENAUD;Ailier;24;192;96
France;Demba BAMBA;Pilier;22;185;123
France;Dorian ALDEGHERI;Pilier;27;180;119
France;Dylan CRETIN;3ème_ligne;23;195;105
France;François CROS;3ème_ligne;26;190;107
France;Gabin VILLIÈRE;Ailier;25;180;93
France;Gaël FICKOU;Centre;26;190;100
France;Greg ALLDRITT;3ème_ligne;23;191;115
France;Guillaume DUCAT;2ème_ligne;24;205;115
France;Hassane KOLINGAR;Pilier;22;186;115
France;Jean-Baptiste GROS;Pilier;21;187;108
France;Jean-Pascal BARRAQUE;Centre;29;182;86
France;Jonathan DANTY;Centre;28;181;107
France;Julien MARCHAND;Talonneur;25;181;108
France;Kilian GÉRACI;2ème_ligne;21;200;115
France;Louis CARBONEL;Ouverture;22;180;84
France;Matthieu JALIBERT;Ouverture;22;184;86
France;Mohamed HAOUAS;Pilier;26;185;127
France;Paul WILLEMSE;2ème_ligne;28;201;126
France;Péato MAUVAKA;Talonneur;24;184;124
France;Pierre BOURGARIT;Talonneur;23;184;105
France;Pierre-Louis BARASSI;Centre;22;188;91
France;Rodrigue NETI;Pilier;25;185;124
France;Romain NTAMACK;Ouverture;21;186;86
France;Romain TAOFIFENUA;2ème_ligne;30;200;127
France;Sébastien BÉZY;Mêlée;29;174;78
France;Sekou MACALOU;3ème_ligne;25;195;108
France;Selevasio TOLOFUA;3ème_ligne;23;186;116
France;Swan REBBADJ;2ème_ligne;26;202;116
France;Teddy BAUBIGNY;Talonneur;22;187;111
France;Teddy THOMAS;Ailier;27;185;98
France;Thomas RAMOS;Arrière;25;178;87
France;Uini ATONIO;Pilier;30;196;145
France;Vincent RATTEZ;Ailier;28;180;85
France;Virimi VAKATAWA;Centre;28;185;97
France;Yoram MOEFANA;Centre;20;182;97
Irlande;Andrew CONWAY;Ailier;29;180;92
Irlande;Andrew PORTER;Pilier;25;184;125
Irlande;Billy BURNS;Ouverture;26;183;86
Irlande;Bundee AKI;Centre;30;183;99
