nom;points de vie;attaque;defense;vitesse;type
Clic;60;80;95;50;Acier
Cliticlic;60;100;115;90;Acier
Registeel;80;75;150;50;Acier
Tic;40;55;70;30;Acier
Betochef;105;140;95;45;Combat
Charpenti;75;80;55;35;Combat
Colossinge;65;105;60;95;Combat
Debugant;35;35;35;35;Combat
Ferosinge;40;80;35;70;Combat
Hariyama;144;120;60;50;Combat
Judokrak;120;100;85;45;Combat
Kapoera;50;95;95;70;Combat
Karaclee;75;125;75;85;Combat
Kicklee;50;120;53;87;Combat
Kungfouine;45;85;50;65;Combat
Machoc;70;80;50;35;Combat
Machopeur;80;100;70;45;Combat
Mackogneur;90;130;80;55;Combat
Makuhita;72;60;30;25;Combat
Ouvrifier;85;105;85;40;Combat
Pandespiegle;67;82;62;43;Combat
Riolu;40;70;40;60;Combat
Shaofouine;65;125;60;105;Combat
Tygnon;50;105;79;76;Combat
Colimucus;68;75;53;60;Dragon
Coupenotte;46;87;60;57;Dragon
Draby;45;75;60;50;Dragon
Drackhaus;65;95;100;50;Dragon
Draco;61;84;65;70;Dragon
Drakkarmin;77;120;90;48;Dragon
Incisache;66;117;70;67;Dragon
Minidraco;41;64;45;50;Dragon
Mucuscule;45;50;35;40;Dragon
Muplodocus;90;100;70;80;Dragon
Tranchodon;76;147;90;97;Dragon
Akwakwak;80;82;78;85;Eau
Aligatueur;85;105;100;78;Eau
Aquali;130;65;60;65;Eau
Bargantua;70;92;65;98;Eau
Bargantua;70;92;65;98;Eau
Barpau;20;15;20;80;Eau
Carabaffe;59;63;80;58;Eau
Carapuce;44;48;65;43;Eau
Clamiral;95;100;85;70;Eau
Coquiperl;35;64;85;32;Eau
Croaporal;54;63;52;97;Eau
Crocrodil;65;80;80;58;Eau
Ecayon;49;49;56;66;Eau
Ecrapince;43;80;65;35;Eau
Flingouste;50;53;62;44;Eau
Flotajou;50;53;48;64;Eau
Flotoutan;75;98;63;101;Eau
Gamblast;71;73;88;59;Eau
Gobou;50;70;50;40;Eau
Grenousse;41;56;40;71;Eau
Hypocean;55;65;95;85;Eau
Hypotrempe;30;40;70;60;Eau
Kaiminus;50;65;64;43;Eau
Kokiyas;30;65;100;40;Eau
Krabby;30;105;90;50;Eau
Kyogre;100;150;90;90;Eau
Lovdisc;43;30;55;97;Eau
Lumineon;69;69;76;91;Eau
Magicarpe;20;10;55;80;Eau
Mamanbo;165;75;80;65;Eau
Manaphy;100;100;100;100;Eau
Mateloutre;75;75;60;60;Eau
Milobellus;95;60;79;81;Eau
Moustillon;55;55;45;45;Eau
Mustebouee;55;65;35;85;Eau
Musteflott;85;105;55;115;Eau
Octillery;75;105;75;45;Eau
Otaria;65;45;55;45;Eau
Phione;80;80;80;80;Eau
Poissirene;45;67;60;63;Eau
Poissoroy;80;92;65;68;Eau
Prinplouf;64;66;68;50;Eau
Psykokwak;50;52;48;55;Eau
Ptitard;40;50;40;90;Eau
Remoraid;35;65;35;65;Eau
Rosabyss;55;84;105;52;Eau
Sancoki;76;48;48;34;Eau
Serpang;55;104;105;52;Eau
Stari;30;45;55;85;Eau
Suicune;100;75;115;85;Eau
Tarpaud;90;75;75;70;Eau
Tetarte;65;65;65;90;Eau
Tiplouf;53;51;53;40;Eau
Tritonde;50;50;40;64;Eau
Wailmer;130;70;35;60;Eau
Wailord;170;90;45;60;Eau
Anchwatt;35;55;40;60;Electrik
Dynavolt;40;45;40;65;Electrik
Elecsprint;70;75;60;105;Electrik
Elecsprint;70;75;80;135;Electrik
Electrode;60;50;70;150;Electrik
Elekable;75;123;67;95;Electrik
Elekid;45;63;37;95;Electrik
Elektek;65;83;57;105;Electrik
Lainergie;70;55;55;45;Electrik
Lamperoie;65;85;70;40;Electrik
Lixy;45;65;34;45;Electrik
Luxio;60;85;49;60;Electrik
Luxray;80;120;79;70;Electrik
Negapi;60;40;50;95;Electrik
Ohmassacre;85;115;80;50;Electrik
Pachirisu;60;45;70;95;Electrik
Pharamp;90;75;85;55;Electrik
Pharamp;90;95;105;45;Electrik
Pichu;20;40;15;60;Electrik
Pikachu;35;55;40;90;Electrik
Pikachu;45;80;50;120;Electrik
Posipi;60;50;40;95;Electrik
Raichu;60;90;55;110;Electrik
Raichu;60;85;50;110;Electrik
Raikou;90;85;75;115;Electrik
Voltali;65;65;60;130;Electrik
Voltorbe;40;30;50;100;Electrik
Wattouat;55;40;40;35;Electrik
Zebibron;45;60;32;76;Electrik
Zeblitz;75;100;63;116;Electrik
Cocotine;101;72;72;29;Fée
Cupcanaille;82;80;86;72;Fée
Flabebe;44;38;39;42;Fée
Floette;54;45;47;52;Fée
Florges;78;65;68;75;Fée
Fluvetin;78;52;60;23;Fée
Granbull;90;120;75;45;Fée
Melo;50;25;28;15;Fée
Melodelfe;95;70;73;60;Fée
Melofee;70;45;48;35;Fée
Nymphali;95;65;65;60;Fée
Snubbull;60;80;50;30;Fée
Sucroquin;62;48;66;49;Fée
Togepi;35;20;65;20;Fée
Xerneas;126;131;95;99;Fée
Aflamanoir;85;97;66;65;Feu
Arcanin;90;110;80;95;Feu
Caninos;55;70;45;60;Feu
Chartor;70;85;140;20;Feu
Darumacho;105;140;55;95;Feu
Darumacho;105;30;105;55;Feu
Darumarond;70;90;45;50;Feu
Entei;115;115;85;100;Feu
Feunard;73;76;75;100;Feu
Feunard;73;67;75;109;Feu
Feunnec;40;45;40;60;Feu
Feurisson;58;64;58;80;Feu
Flamajou;50;53;48;64;Feu
Flamoutan;75;98;63;101;Feu
Galopa;65;100;70;105;Feu
Goupix;38;41;40;65;Feu
Goupix;38;41;40;65;Feu
Gruikui;65;63;45;45;Feu
Hericendre;39;52;43;65;Feu
Limagma;40;40;40;20;Feu
Maganon;75;95;67;83;Feu
Magby;45;75;37;83;Feu
Magmar;65;95;57;93;Feu
Ouisticram;44;58;44;61;Feu
Ponyta;50;85;55;90;Feu
Poussifeu;45;60;40;45;Feu
Pyroli;65;130;60;65;Feu
Reptincel;58;64;58;80;Feu
Roussil;59;59;58;73;Feu
Salameche;39;52;43;65;Feu
Typhlosion;78;84;78;100;Feu
Givrali;65;60;110;65;Glace
Grelacon;55;69;85;28;Glace
Hexagel;80;50;50;105;Glace
Oniglali;80;80;80;80;Glace
Oniglali;80;120;80;100;Glace
Polagriffe;95;130;80;50;Glace
Polarhume;55;70;40;40;Glace
Regice;80;50;100;50;Glace
Seracrawl;95;117;184;28;Glace
Sorbebe;36;50;50;44;Glace
Sorbouboul;71;95;85;79;Glace
Sorboul;51;65;65;59;Glace
Stalgamin;50;50;50;50;Glace
Armulys;50;35;55;15;Insecte
Blindalys;50;35;55;15;Insecte
Carabing;50;75;45;60;Insecte
Chenipan;45;30;35;45;Insecte
Chenipotte;45;45;35;20;Insecte
Cheniti;40;29;45;36;Insecte
Chrysacier;50;20;55;30;Insecte
Crikzik;37;25;41;25;Insecte
Escargaume;50;40;85;25;Insecte
Lepidonille;38;35;40;35;Insecte
Limaspeed;80;70;40;145;Insecte
Lumivole;65;47;75;85;Insecte
Melokrik;77;85;51;65;Insecte
Muciole;65;73;75;85;Insecte
Peregrain;45;22;60;29;Insecte
Pomdepik;50;65;90;15;Insecte
Scarabrute;65;125;100;85;Insecte
Scarabrute;65;155;120;105;Insecte
Arceus;120;120;120;120;Normal
Brouhabam;104;91;63;68;Normal
Capidextre;75;100;66;115;Normal
