Prénom;Sexe;Année de naissance;Occurence
IRIS;FILLE;2019;25.0
ROMY;FILLE;2019;19.0
MARGOT;FILLE;2019;13.0
AMIRA;FILLE;2019;11.0
EMMY;FILLE;2019;11.0
GARANCE;FILLE;2019;11.0
LILOU;FILLE;2019;11.0
ALICIA;FILLE;2019;10.0
LISON;FILLE;2019;10.0
COLINE;FILLE;2019;9.0
LUCIE;FILLE;2019;8.0
ALBA;FILLE;2019;7.0
CÉLESTE;FILLE;2019;7.0
FLORA;FILLE;2019;6.0
MADELEINE;FILLE;2019;6.0
PAULINE;FILLE;2019;6.0
GABRIEL;GARCON;2019;62.0
LUCAS;GARCON;2019;45.0
GABIN;GARCON;2019;33.0
EWEN;GARCON;2019;13.0
LÉONARD;GARCON;2019;12.0
KYLIAN;GARCON;2019;11.0
JEAN;GARCON;2019;10.0
DAVID;GARCON;2019;8.0
TIMOTHÉ;GARCON;2019;8.0
ISMAËL;GARCON;2019;7.0
RAFAËL;GARCON;2019;6.0
JULIA;FILLE;2018;32.0
CHARLOTTE;FILLE;2018;28.0
LÉNA;FILLE;2018;26.0
SOLINE;FILLE;2018;17.0
AYA;FILLE;2018;12.0
ELISE;FILLE;2018;9.0
NOÉMIE;FILLE;2018;9.0
CÉLESTINE;FILLE;2018;8.0
ELENA;FILLE;2018;7.0
ELIA;FILLE;2018;6.0
ELOÏSE;FILLE;2018;6.0
FÉLICIE;FILLE;2018;6.0
INES;FILLE;2018;6.0
SASHA;FILLE;2018;6.0
GABRIEL;GARCON;2018;62.0
LUCAS;GARCON;2018;49.0
ELIOTT;GARCON;2018;31.0
SIMON;GARCON;2018;24.0
ALEXANDRE;GARCON;2018;23.0
BAPTISTE;GARCON;2018;23.0
VALENTIN;GARCON;2018;22.0
TIMÉO;GARCON;2018;20.0
BASILE;GARCON;2018;18.0
LUCIEN;GARCON;2018;14.0
BENJAMIN;GARCON;2018;9.0
KAÏS;GARCON;2018;9.0
KENZO;GARCON;2018;8.0
EMMANUEL;GARCON;2018;7.0
THIAGO;GARCON;2018;6.0
ROMANE;FILLE;2017;38.0
LOU;FILLE;2017;22.0
APOLLINE;FILLE;2017;19.0
CLARA;FILLE;2017;18.0
SOLINE;FILLE;2017;18.0
GIULIA;FILLE;2017;13.0
MAËLYS;FILLE;2017;12.0
SOFIA;FILLE;2017;12.0
CARMEN;FILLE;2017;11.0
THÉA;FILLE;2017;11.0
MARIA;FILLE;2017;10.0
ARYA;FILLE;2017;7.0
ELYA;FILLE;2017;7.0
FATOUMATA;FILLE;2017;7.0
LUCILE;FILLE;2017;7.0
THELMA;FILLE;2017;7.0
MÉLINA;FILLE;2017;6.0
PIA;FILLE;2017;6.0
JULES;GARCON;2017;62.0
PAUL;GARCON;2017;58.0
LOUIS;GARCON;2017;57.0
AUGUSTIN;GARCON;2017;39.0
MALO;GARCON;2017;37.0
SACHA;GARCON;2017;36.0
ADAM;GARCON;2017;28.0
BAPTISTE;GARCON;2017;21.0
MARCEAU;GARCON;2017;21.0
ANTOINE;GARCON;2017;17.0
LUCIEN;GARCON;2017;17.0
SOAN;GARCON;2017;15.0
GUSTAVE;GARCON;2017;14.0
LÉANDRE;GARCON;2017;11.0
AYDEN;GARCON;2017;10.0
PIERRE;GARCON;2017;9.0
LYAM;GARCON;2017;8.0
YOUNES;GARCON;2017;8.0
AMAURY;GARCON;2017;7.0
ARMEL;GARCON;2017;7.0
LUCA;GARCON;2017;6.0
LOUISE;FILLE;2016;62.0
MILA;FILLE;2016;42.0
LOLA;FILLE;2016;34.0
MARGAUX;FILLE;2016;26.0
MIA;FILLE;2016;24.0
OLIVIA;FILLE;2016;23.0
LOUNA;FILLE;2016;20.0
HANAÉ;FILLE;2016;12.0
SALOMÉ;FILLE;2016;12.0
LIA;FILLE;2016;9.0
DIANE;FILLE;2016;8.0
GIULIA;FILLE;2016;8.0
LEÏLA;FILLE;2016;8.0
NORAH;FILLE;2016;7.0
LILA;FILLE;2016;6.0
MAËLLE;FILLE;2016;6.0
ROBIN;GARCON;2016;25.0
MARCEAU;GARCON;2016;22.0
VALENTIN;GARCON;2016;22.0
THÉO;GARCON;2016;20.0
NAËL;GARCON;2016;19.0
OCTAVE;GARCON;2016;14.0
LUCIEN;GARCON;2016;12.0
SASHA;GARCON;2016;12.0
WILLIAM;GARCON;2016;11.0
ARMAND;GARCON;2016;10.0
TRISTAN;GARCON;2016;10.0
ALI;GARCON;2016;9.0
LOUKA;GARCON;2016;8.0
ALBAN;GARCON;2016;7.0
JONAS;GARCON;2016;7.0
MALONE;GARCON;2016;7.0
ARSÈNE;GARCON;2016;6.0
CHARLY;GARCON;2016;6.0
EWENN;GARCON;2016;6.0
ISSA;GARCON;2016;6.0
RAFAEL;GARCON;2016;6.0
