Année de naissance;Code commune;Libellé commune;Sexe;Prénom;Nombre
2013;35238;RENNES;Féminin;Lizig;1
2018;35238;Rennes;Masculin;Abdoulmalik;1
2013;35238;RENNES;Féminin;Lorenza;1
2013;35238;RENNES;Féminin;Lorna;1
2013;35238;RENNES;Féminin;Louisy;1
2013;35238;RENNES;Féminin;Lyla;1
2013;35238;RENNES;Féminin;Manal;1
2013;35238;RENNES;Féminin;Maëlie;1
2013;35238;RENNES;Féminin;Maëlwenn;1
2013;35238;RENNES;Féminin;Meredith;1
2013;35238;RENNES;Féminin;Puvisha;1
2013;35238;RENNES;Féminin;Sowa;1
2013;35238;RENNES;Masculin;Martin;29
2013;35238;RENNES;Masculin;Aaron;15
2013;35238;RENNES;Masculin;Antonin;15
2013;35238;RENNES;Masculin;Elliot;3
2013;35238;RENNES;Masculin;Meven;3
2013;35238;RENNES;Masculin;Pacôme;3
2013;35238;RENNES;Masculin;Joss;2
2013;35238;RENNES;Masculin;Mewenn;2
2013;35238;RENNES;Masculin;Asmen;1
2013;35238;RENNES;Masculin;Darnell;1
2013;35238;RENNES;Masculin;Efrahime;1
2013;35238;RENNES;Masculin;Frahim;1
2013;35238;RENNES;Masculin;Idir;1
2013;35238;RENNES;Masculin;Ilyas;1
2013;35238;RENNES;Masculin;Isaak;1
2013;35238;RENNES;Masculin;Isaïah;1
2013;35238;RENNES;Masculin;Joris;1
2013;35238;RENNES;Masculin;Kaël;1
2013;35238;RENNES;Masculin;Killian;1
2013;35238;RENNES;Masculin;Levi;1
2013;35238;RENNES;Masculin;London;1
2013;35238;RENNES;Masculin;Manech;1
2013;35238;RENNES;Masculin;Mohamed-Ouways;1
2013;35238;RENNES;Masculin;Oswald;1
2013;35238;RENNES;Masculin;Oubeyy;1
2013;35238;RENNES;Masculin;Samih;1
2013;35238;RENNES;Masculin;Sény;1
2013;35238;RENNES;Masculin;Triston;1
2013;35238;RENNES;Masculin;Wissam;1
2013;35238;RENNES;Féminin;Laura;12
2013;35238;RENNES;Féminin;Noémie;9
2013;35238;RENNES;Féminin;Eléa;6
2013;35238;RENNES;Féminin;Emmy;6
2013;35238;RENNES;Féminin;Suzanne;6
2013;35238;RENNES;Féminin;Mia;5
2013;35238;RENNES;Féminin;Shayna;4
2013;35238;RENNES;Féminin;Fatima;3
2013;35238;RENNES;Féminin;Ninon;3
2013;35238;RENNES;Féminin;Castille;2
2013;35238;RENNES;Féminin;Marwa;2
2013;35238;RENNES;Féminin;Maïlane;2
2013;35238;RENNES;Féminin;Siloé;2
2013;35238;RENNES;Féminin;Thalia;2
2013;35238;RENNES;Féminin;Antonia;1
2013;35238;RENNES;Féminin;Awen;1
2013;35238;RENNES;Féminin;Aëlya;1
2013;35238;RENNES;Féminin;Brizéis;1
2013;35238;RENNES;Féminin;Dalelle;1
2013;35238;RENNES;Féminin;Kaylliah;1
2013;35238;RENNES;Féminin;Kaïla;1
2013;35238;RENNES;Féminin;Kellya;1
2013;35238;RENNES;Féminin;Khadidja;1
2013;35238;RENNES;Féminin;Kyliana;1
2013;35238;RENNES;Féminin;Leonor;1
2013;35238;RENNES;Féminin;Moïra;1
2013;35238;RENNES;Féminin;Myrana;1
2013;35238;RENNES;Féminin;Opale;1
2013;35238;RENNES;Féminin;Paloma;1
2013;35238;RENNES;Féminin;Ronahi;1
2013;35238;RENNES;Féminin;Rosie;1
2013;35238;RENNES;Féminin;Tania;1
2013;35238;RENNES;Masculin;Maël;39
2013;35238;RENNES;Masculin;Maxence;24
2013;35238;RENNES;Masculin;Louka;13
2013;35238;RENNES;Masculin;Ewann;2
2013;35238;RENNES;Masculin;Lého;2
2013;35238;RENNES;Masculin;Abdourrahim;1
2013;35238;RENNES;Masculin;Aédan;1
2013;35238;RENNES;Masculin;Hatem;1
2016;35238;Rennes;Masculin;Aris;1
2016;35238;Rennes;Masculin;Barbaatar;1
2016;35238;Rennes;Masculin;Jim;2
2016;35238;Rennes;Masculin;Jordan;3
2016;35238;Rennes;Masculin;Djayson;1
2016;35238;Rennes;Masculin;Eliezer-Peniel;1
2016;35238;Rennes;Masculin;Lenny;8
2016;35238;Rennes;Masculin;Eric;1
2016;35238;Rennes;Masculin;Eyden;1
2016;35238;Rennes;Masculin;Farèsse;1
2016;35238;Rennes;Masculin;Loévan;2
2016;35238;Rennes;Masculin;Guëwan;1
2016;35238;Rennes;Masculin;Hudayfi;1
2016;35238;Rennes;Masculin;Hyed;1
2016;35238;Rennes;Masculin;Ilimas;1
2016;35238;Rennes;Masculin;Irmane;1
2016;35238;Rennes;Masculin;Ismaël-James;1
2016;35238;Rennes;Masculin;Jacques;1
2016;35238;Rennes;Masculin;Jed;1
2016;35238;Rennes;Masculin;Joris;1
2016;35238;Rennes;Masculin;Kayden-Elyan;1
2016;35238;Rennes;Masculin;Kiéron;1
2016;35238;Rennes;Masculin;Kimran;1
2016;35238;Rennes;Masculin;Antonin;9
2016;35238;Rennes;Masculin;Ali;5
2016;35238;Rennes;Masculin;Briac;6
2016;35238;Rennes;Masculin;Darren;3
2016;35238;Rennes;Masculin;Eliott;19
2016;35238;Rennes;Masculin;Romain;7
2016;35238;Rennes;Masculin;Octave;1
2016;35238;Rennes;Masculin;Ousmane-Ali;1
